Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at  Westminster,"410 Malcolm Dr Ste C Westminster, MD (39.562345, -76.979414)",MD,State & Community-Based Models,119,
Maryland Total Cost of Care Model,"Olney Medical Associates, LLC","18109 Prince Philip Dr Ste 275 Olney, MD (39.154266, -77.056978)",MD,State & Community-Based Models,120,
Maryland Total Cost of Care Model,"Jeffrey E. Atkinson, M.D., LLC","8028 Ritchie Hwy Ste 108 Pasadena, MD (39.12927, -76.592711)",MD,State & Community-Based Models,121,
Maryland Total Cost of Care Model,Montgomery Family Medicine Associates,"2415 Musgrove Rd Ste 105 Silver Spring, MD (39.068, -76.960583)",MD,State & Community-Based Models,122,
Maryland Total Cost of Care Model,Johns Hopkins Physicians at Bowie,"17001 Science Dr Ste 102 Bowie, MD (38.963788, -76.71044)",MD,State & Community-Based Models,123,
Maryland Total Cost of Care Model,Downtown Baltimore Family Care,"1147 S Hanover St Baltimore, MD (39.27572, -76.615465)",MD,State & Community-Based Models,124,
Maryland Total Cost of Care Model,"Shiv C. Khanna, M.D., PA","214 Paca St Cumberland, MD (39.649054, -78.769487)",MD,State & Community-Based Models,125,
Maryland Total Cost of Care Model,"P. J. Mehta, M.D.","829 Eastern Shore Dr Salisbury, MD (38.353527, -75.597442)",MD,State & Community-Based Models,126,
Maryland Total Cost of Care Model,"Unviersity of Maryland Family Medicine Associates, PA","29 S Paca St Baltimore, MD (39.288997, -76.622262)",MD,State & Community-Based Models,127,
Maryland Total Cost of Care Model,"Jorge Vallecillo, M.D.","1319 Light St Baltimore, MD (39.274289, -76.611979)",MD,State & Community-Based Models,128,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Canton Crossing,"1501 S Clinton St Ste 200 Baltimore, MD (39.275166, -76.569233)",MD,State & Community-Based Models,129,
Maryland Total Cost of Care Model,"Yoon J. Cho Do, LLC","6161 Executive Blvd North Bethesda, MD (39.048944, -77.125669)",MD,State & Community-Based Models,130,
Maryland Total Cost of Care Model,IC Care Corp.,"1100 Mercantile Lane Suite 135 Upper Marlboro, MD (38.905993, -76.83775)",MD,State & Community-Based Models,131,
Maryland Total Cost of Care Model,"Carroll Family Medicine, LLC","814 N Houcksville Rd Hampstead, MD (39.597211, -76.857254)",MD,State & Community-Based Models,132,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Howard County Family Practice,"6350 Stevens Forest Rd Ste 102 Columbia, MD (39.197953, -76.854974)",MD,State & Community-Based Models,133,
Maryland Total Cost of Care Model,"Feirtag and Ramos, PA","1205 York Rd Ste 36 Lutherville, MD (39.416271, -76.614108)",MD,State & Community-Based Models,134,
Maryland Total Cost of Care Model,Family Health Care,"19851 Observation Dr Ste 250 Germantown, MD (39.179091, -77.242487)",MD,State & Community-Based Models,135,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Remington,"2700 Remington Ave Ste 2000 Baltimore, MD (39.32057, -76.620864)",MD,State & Community-Based Models,136,
Maryland Total Cost of Care Model,Clinical Associates - Reisterstown,"750 Main St Reisterstown, MD (39.451797, -76.820142)",MD,State & Community-Based Models,137,
Maryland Total Cost of Care Model,Comprehensive Primary Care - Germantown,"20410 Observation Drive Suite 210 Germantown, MD (39.191472, -77.248189)",MD,State & Community-Based Models,138,
Maryland Total Cost of Care Model,McCready Health,"201 Hall Hwy Crisfield, MD (37.996011, -75.852366)",MD,State & Community-Based Models,139,
Maryland Total Cost of Care Model,Comprehensive Primary Care - Montgomery Village,"18550 Office Park Drive Montgomery Village, MD (39.162062, -77.203479)",MD,State & Community-Based Models,140,
Maryland Total Cost of Care Model,Comprehensive Primary Care - Medical Center,"9715 Medical Center Dr Ste 501 Rockville, MD (39.098355, -77.195573)",MD,State & Community-Based Models,141,
Maryland Total Cost of Care Model,"Padder Health Services, LLC","7350 Van Dusen Rd Ste 130 Laurel, MD (39.08525, -76.880832)",MD,State & Community-Based Models,142,
Maryland Total Cost of Care Model,Riderwood Village Medical Center,"3110 Gracefield Rd Silver Spring, MD (39.056364, -76.950969)",MD,State & Community-Based Models,143,
Maryland Total Cost of Care Model,"Syed W. Haque, M.D.","700 Montclaire Ave Ste B Frederick, MD (39.424398, -77.413563)",MD,State & Community-Based Models,144,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Fulton,"8115 Maple Lawn Blvd Ste 140 Fulton, MD (39.149937, -76.904072)",MD,State & Community-Based Models,145,
Maryland Total Cost of Care Model,Doctors Community Practices,"4000 Mitchellville Rd Ste B216 Bowie, MD (38.945366, -76.722696)",MD,State & Community-Based Models,146,
Maryland Total Cost of Care Model,Doctors Community Practices Laurel,"13900 Baltimore Ave Laurel, MD (39.081016, -76.864463)",MD,State & Community-Based Models,147,
Maryland Total Cost of Care Model,"WMHS Primary Care Center, Lavale","1313 National Hwy LaVale, MD (39.637369, -78.848665)",MD,State & Community-Based Models,148,
